NO,KECAMATAN,POSITIF,TENAGA_MEDIS,JUMLAH_PENDUDUK
1,AMPELGADING,4,44,54456
2,BANTUR,2,28,33549
3,BULULAWANG,31,42,70675
4,DAMPIT,15,52,66084
5,DAU,36,44,69912
6,DONOMULYO,10,56,63777
7,GEDANGAN,4,39,53652
8,GONDANGLEGI,10,34,48183
9,JABUNG,16,50,73896
10,KALIPARE,8,37,62581
11,KARANGPLOSO,50,43,77546
12,KASEMBON,0,32,31133
13,KEPANJEN,48,55,105960
14,KROMENGAN,10,26,39132
15,LAWANG,106,83,106631
16,NGAJUM,8,39,49657
17,NGANTANG,12,34,57769
18,PAGAK,4,28,29129
19,PAGELARAN,9,32,67659
20,PAKIS,83,51,138849
21,PAKISAJI,48,50,85049
22,PONCOKUSUMO,7,50,94792
23,PUJON,13,36,67489
24,SBR MJG WETAN,8,39,54531
25,SINGOSARI,203,42,93442
26,SUMBERPUCUNG,7,56,53088
27,TAJINAN,17,38,53629
28,TIRTOYUDO,2,43,61718
29,TUMPANG,18,64,76863
30,TUREN,13,54,115488
31,WAGIR,27,36,82742
32,WAJAK,13,46,82197
33,WONOSARI,2,28,42119
